claim_id,section,claim,source_text,source_url
c101,殺される数,2023年のブロイラー・廃鶏・豚の処理数の合計は約8.4億で、日本の人口の約6.8倍にあたる,"畜産物流通調査（食鳥流通統計・と畜統計）の2023年確報値の合計。ブロイラー745,636千羽＋廃鶏74,916千羽＋豚16,407千頭＝836,959千。旧記載の8.2億は豚の統計表が2017年で更新停止していたため豚を欠いていた",https://www.e-stat.go.jp/stat-search/files?tclass=000001020202
c102,殺される数,"ブロイラーの処理羽数は2023年に7億4,563万6千羽",食鳥流通統計 ブロイラー処理羽数（2023年）,https://www.e-stat.go.jp/stat-search/files?tclass=000001020202
c103,殺される数,"廃鶏（採卵鶏など成鶏）の処理羽数は2023年に7,491万6千羽",食鳥流通統計 成鶏処理羽数（2023年）,https://www.e-stat.go.jp/stat-search/files?tclass=000001020202
c104,殺される数,採卵鶏の雄ひよこは孵化直後に殺処分される（業界慣行）。殺処分数の公式統計はなく、本サイトは雌雛と同数孵化する前提で廃鶏と同数と仮定した概算値を示す,国立国会図書館 調査と情報―ISSUE BRIEF― No.1344「採卵鶏のアニマルウェルフェア」（2026.2.27）注19「採卵鶏の雄雛は、産卵能力がなく、肉用にも適さないため、ふ化後すぐに殺処分される。この雄雛淘汰という業界慣行は、持続可能性や倫理面での問題が指摘されており」。同注は上原まほ「日本における雄雛淘汰の現状」『鶏の研究』1153号（2023.6）を引く。国際的な概況は Krautwald-Junghanns et al. (2018) Poultry Science 97:749 (doi:10.3382/ps/pex389),https://dl.ndl.go.jp/pid/14632280
c105,殺される数,"豚のと畜頭数は2023年に16,406,981頭（1,641万頭）","e-Stat「畜産物と畜（処理）頭羽数及び生産量（明治10年～令和5年）」（畜産物流通統計 確報、2025年4月30日公表）の令和5年・豚の頭数。旧記載の2017年1,634万頭は参照統計表が更新停止していたため",https://www.e-stat.go.jp/stat-search/files?toukei=00500227&tstat=000001044816&tclass1=000001044818&tclass2=000001218980&layout=datalist&cycle=7
c106,殺される数,"犬猫の殺処分数は2023年度に9,017頭",環境省「犬・猫の引取り及び負傷動物の収容状況」,https://www.env.go.jp/nature/dobutsu/aigo/2_data/statistics/dog-cat.html
c107,殺される数,ブロイラーは生後およそ50日で出荷される,農林水産省「鶏の改良増殖をめぐる情勢」（令和元年7月）注2「ブロイラーの出荷時生体重は、実態を踏まえて平成15年までは49日齢、平成20年以降は47日齢に設定」。同資料の能力評価も47日齢時体重・49日齢時育成率で行われている,https://www.maff.go.jp/j/chikusan/sinko/lin/l_katiku/attach/pdf/niwatori-6.pdf
c108,殺される数,採卵鶏は卵を産む量が落ちる1〜2年で廃鶏として処理される,日本養鶏協会「鶏卵生産等のアンケート調査結果について」（2022.3〜2025.3、大木(2025)の整理）：成鶏飼養日数は誘導換羽なしで546〜570日齢、ありで696〜713日齢。ふ化から数えて約1.5〜2年,https://lab-navi.azabu-u.ac.jp/va-10
c111,飼育数,採卵鶏とブロイラーはそれぞれ1億羽を超え、合計で日本の人口の2倍以上,畜産統計調査 成鶏めす飼養羽数・ブロイラー飼養羽数（各年2月1日現在）,https://www.e-stat.go.jp/stat-search/files?tclass=000001020194
c112,飼育数,"2024年の採卵鶏（種鶏を除く成鶏めす）飼養羽数は1億2,973万羽",畜産統計調査（2024年2月1日現在）,https://www.e-stat.go.jp/stat-search/files?tclass=000001020194
